Company Name | Description of services,What industry / sector does your organisation operate in? If you are an IT consultant please state your industry experience under “Other”.,Number of employees within your organisation,How much information risk are you willing to take to achieve your strategic objectives?,How do you balance the potential information risks against potential rewards in your decision-making processes?,How do you approach risk management? What risk mitigation strategies did you adopt?,"Have you identified the level of risk that is acceptable to the organisation, and what level of risk is unacceptable?",Have you established risk tolerances for different types of risks and activities within the organisation?,Unauthorised access to confidential product information,Inadequate security controls in a product development environment,Insufficient testing of security features in products prior to release,Lack of encryption of Client Confidential data or Personal data in products,Security vulnerabilities in third-party software used in product development,Insider threats from employees or contractors with access to employee personal data,Lack of proper training and awareness programs for employees on information security best practices,Inadequate background checks on employees or contractors with access to sensitive information,Insecure storage or transmission of business confidential data,Failure to properly restrict access to Employee Personal Data,Insider threats from IT staff with access to sensitive systems or data,Insufficient security controls in IT infrastructure,Inadequate monitoring and logging of IT activities,Lack of proper patch management for IT systems and software,Insecure storage or transmission of confidential/sensitive data on IT systems,What type of role do you hold within your organisation?,How many years of experience do you have in the IT / Security field?,What maturity models are you familiar with?,How many years of experience do you have using COBIT 5 maturity levels?,How many years of experience do you have using CMM and CMMI maturity levels?,What other maturity models are you familiar with? And how many years of experience do you hold using this maturity model?,Does your company have a Chief Information Security Officer or a Steering committee reporting to the board/ executive management team?,Does your company have any Information Security certifications?,Does your company have an Information Security Policy / Charter?,Where is the majority of the environment / tech-stack hosted?,What type of development efforts does your organisation do?,Do you make use of any of the following tools throughout your development lifecycle?,Do you perform penetration testing on the supporting infrastructure?,How often are tests performed on infrastructure?,Do you perform penetration testing on your application?,How often are tests performed on the application(s)?,Are developers required to attend Application Security Training?,How often is this training required?,Are Secure Code training courses/resources offered:,Do you have a company-wide training and awareness programme?,Does your company have a password policy?,Does your company have an access control policy?,Does your company have an access rights review policy?,How often are access rights reviewed?,Do you use a single IdP (Identity Provider)?,Are all your corporate systems authenticated via SSO (Single Sign-On)?,What level of risk is associated with your outsourced development?,Are the outsourced developers required to follow your policies and procedures?,Are the outsourced developers required to follow your training and awareness requirements?
Invicti,Information technology and telecommunications sector,100 - 500,Low risk acceptance,We prioritise our initiatives and evaluate the associated risks. Attempting to mitigate and control risks in the strategic approach to reach out targets.,"Reduce / Avoid, Accept / Transfer",Yes,Yes,3,3,2,3,3,3,1,1,2,3,2,2,2,3,3,Info Security role,Between 1 - 5 years,"CMM, CMMI",Less than 1 year,Between 1 - 5 years,Gartner Maturity Model,Yes,ISO 27001,Yes,Cloud-Based,All development is done internally by our developers,"DAST, IAST, SAST",Yes,Bi-Annually (every 6 months),Yes,Bi-Annually (every 6 months),Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,,,
Gaming Innovation Group,Gaming,100 - 500,Low risk acceptance,"Categorise the severity of a risk and identify its repercussions – if reward is greater than repercussions and if risk falls within the business risk appetite, then accept the risk.","Reduce / Avoid, Accept / Transfer",Yes,Yes,2,1,3,3,2,2,2,2,3,3,2,3,3,2,3,Info Security role,More than 5 years,COBIT 5 maturity model,Less than 1 year,Less than 1 year,"N/A. Even for others, whilst familiar with them, I have no real experience working with them.",Yes,ISO 27001,Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),"DAST, SAST",Yes,< Quarterly,Yes,Annually,Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,"Where possible, yes",Medium,Yes,Yes
Catena Operations Limited | Media Publishing Company,Information technology and telecommunications sector,100 - 500,High risk acceptance,"We use a risk-based approach to decision-making, where potential risks are assessed and prioritised based on their likelihood and impact. This helps in making well-informed decisions that balance potential risks and rewards.","Reduce / Avoid, Accept / Transfer",No,No,3,2,2,3,2,2,2,2,3,3,2,2,2,2,2,Info Security role,More than 5 years,"COBIT 5 maturity model, CMM, CMMI",Less than 1 year,Less than 1 year,CIS Critical Security Controls: 5 years,No,No,Yes,Cloud-Based,Some of our development efforts are outsourced (contractors / consultants),"DAST, SAST",No,Infra Tests: Daily / Weekly depending on criticality,Yes,Annually,Yes,Monthly,Externally,Yes,Yes,Yes,No,Adhoc,Yes,All where SSO is supported.,"We perform Vendor Security Assessment Questionnaires on all outsourced staff, or require background checks on freelancers.",Yes.,Yes.
Accurx/Develops Tech for the healthcare industry,Healthcare sector,100 - 500,Medium risk acceptance,"I ensure I have enough mitigative controls in place, including monitoring, to keep risk to an acceptable level",Reduce / Avoid,Yes,No,3,2,2,3,2,3,3,2,2,2,2,2,3,3,3,Top Management (C Suite / Director),More than 5 years,"CMM, CMMI",Less than 1 year,More than 5 years,I mainly use CMMI,Yes,ISO 27001,Yes,Cloud-Based,All development is done internally by our developers,"DAST, IAST, SAST",Yes,Quarterly,Yes,Quarterly,No,Not a requirement,Not offered,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,,,
RS2 Software Plc,Finance and insurance sector,100 - 500,Low risk acceptance,Always trying to keep risks to a minimum.,Reduce / Avoid,Yes,Yes,3,3,3,3,3,2,2,2,3,3,3,3,2,2,3,General IT (Internal IT team) role,More than 5 years,None,Less than 1 year,Less than 1 year,Never heard of them,Yes,PA DSS,Yes,Cloud-Based,Some of our development efforts are outsourced (contractors / consultants),"DAST, IAST, SAST",Yes,Quarterly,Yes,Bi-Annually (every 6 months),Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,"High Risk, they are rarely given access to source code, and are given restricted access to internal systems.",Yes,No
Goverment,State and administration sector,100 - 500,Low risk acceptance,Defense in depth to reduce reputational damage,Reduce / Avoid,Yes,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Info Security role,Between 1 - 5 years,None,Less than 1 year,Less than 1 year,Nist,Yes,ISO 27001,Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),"DAST, SAST",Yes,Quarterly,Yes,Quarterly,Yes,Annually,Externally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,Low,Yes,No
High5 Games LLC,Media and Culture sector,100 - 500,Low risk acceptance,Cost both to reputation and financial of not doing something,Reduce / Avoid,Yes,Yes,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,Top Management (C Suite / Director),More than 5 years,"COBIT 5 maturity model, CMM, CMMI",More than 5 years,More than 5 years,Gartner (5+),Yes,ISO 27001,Yes,Hybrid,All development is done internally by our developers,IAST,Yes,Annually,Yes,Annually,Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,No,Yes,,,
Payments Acquirer,Finance and insurance sector,100 - 500,Low risk acceptance,Carrying out risk assessments specific to the scenarios in question.,"Reduce / Avoid, Accept / Transfer",Yes,Yes,2,3,3,3,3,2,3,2,3,2,3,3,3,3,3,Info Security role,More than 5 years,COBIT 5 maturity model,More than 5 years,Between 1 - 5 years,"ISM3, ENISA CMM",Yes,PCI,Yes,Cloud-Based,Some of our development efforts are outsourced (contractors / consultants),"DAST, IAST, SAST",Yes,Annually,Yes,Frequently on specific components.,Yes,Annually,Externally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,Medium. Other security controls are in place to mitigate insider threats.,Yes. Same policy applies.,Yes. Same policy applies.
Formue - Advisory and wealth management,Finance and insurance sector,100 - 500,Medium risk acceptance,"Risk likelihood and impact considering existing controls implemented is used to determine the risk score. If the score is above the risk acceptance level then the risk must either be mitigated, avoided, transferred, shared or accepted. Risks can be accepted to pursue opportunities, but we typically only do this if there are good benefits and the cost of implementing controls is higher than the cost of the risk materialising.","Reduce / Avoid, Accept / Transfer",Yes,Yes,3,3,2,3,3,1,3,1,3,2,2,3,2,3,3,Top Management (C Suite / Director),More than 5 years,COBIT 5 maturity model,Between 1 - 5 years,Less than 1 year,NIST Cybersecurity Framework - 2 years,Yes,None at the moment but we are going for ISO27001 certification this year.,Yes,Hybrid,Some of our development efforts are outsourced (contractors / consultants),"DAST, IAST, SAST",Yes,Annually,Yes,Annually,Yes,Annually,Internally,Yes,Yes,Yes,Yes,Every 3 - 6 Months,Yes,Yes,"Our developer consultants are treated as internal employees, they are based onsite in the office and have company equipment. Therefore the risk is different as we have more control and they are subjected to our ISMS and security culture. There are still risks such as IP theft, malicious code injection and data breaches. Some of these risks are addressed contractually or through other technical controls. Overall, I'd say the risk level is medium.",Yes,Yes
Withheld for privacy reasons,Information technology and telecommunications sector,100 - 500,Medium risk acceptance,Compensating the way the process adds ease to do the job and considering to minimize those risks as much as possible.,Reduce / Avoid,No,No,3,3,2,3,3,2,2,2,3,2,2,2,2,2,3,Analytics,Less than 1 year,None,Less than 1 year,Less than 1 year,None,No,Not sure,No,Cloud-Based,No development is required for our organisation,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,No,No,No,No,Not sure,No,No,,,
